brand,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name
FALKENTYRES,,,"103, Rabari Colony, Opp. Satyam Nagar  Nr. Ramrajyanagar Cross Road, Amraiwadi, Ahmedabad, Gujarat- 380026",,9724060423,,,Babari Tyres
FALKENTYRES,,,"S-444, Near Ujala Circle, 17, Bavla Road  Sarkhej, Ahmedabad, Gujarat- 380055",,9825805091,,,Hemant Tyre Zone
FALKENTYRES,,,"Near Chamunda Temple, 7853 Opp Narmada Colony, Bhavnagar Highway road, Dhandhuka",,9998600008,,,Patel Automobiles
FALKENTYRES,,,"46, Vadi Society, Bagwada darwaja, Patan",,9898386386,,,Panchmukhi Valkenizing Works
FALKENTYRES,,,"6, Near Nilkanth Hotel, Bavla, Narayan Estate, Ahmedabad",,9825701332,,,Nilkanth Tyre Agency
FALKENTYRES,,,"GF/13, Hari Villa, Chandlodia, Gota Road, Ahmedabad",,9824057709,,,AVI Tyres
FALKENTYRES,,,"Shop No.14, Block -B, Sadani Dhabi, B/S. Canal, Narol Vatva Road, Hill Park Residency, Vatva Ahmedabad",,9374006636,,,Guru Krupa Tyre
FALKENTYRES,,,"46, Bagwada Vadi Society",,9898386386,,,Panchmukhi Valkanizing Works
FALKENTYRES,,,"G.F. 32, Shree Narayan Palace, 100Ft. Hebatpur Road	, Near Survarna Villa Bunglows, Thaltej, Ahmedabad",,9662701548,,,Jay Yogeshwar Tyre Service
FALKENTYRES,,,"Shop No. 8, Lambhvel Road, Dhanlaxmi Tower, Anand",,9537504830,,,Mahadev Tyre
FALKENTYRES,,,"24,  Madni Shopping Centre, Shamlaji Road, Madosa, Distt. Aravalli",,9426048218,,,Sahakar Tyres
FALKENTYRES,,,"B/16, Punchmukhi Residency, Nikol, Opp. Shreedhar Bunglow, Ahmedabad",,8866144997,,,Speedway Tyre And Care
FALKENTYRES,,,"GF12, Gopinath Estate 2 NR. Soni Ni Chawla , N.H, Swaminarayan Chambers, No . 08 Odhav, 	Ahmedabad",,9979229851,,,Perfect Motors
FALKENTYRES,,,"475/1, T P 204- MAKARBA, S P RING ROAD, SOUTH BOPAL CROSS ROAD CORNER, SOUTH BOPAL, AHMEDABAD",,8401175106,,,Tyre Point Plus
FALKENTYRES,,,"3, Pushparaj Apartment, 100ft Road, Krishnanagar, Saipurbogha, Opp. Vishwas Flat, Opp . Maruti PLaza, Ahmedabad",,9909525736,,,Krishna Tyre and Oil
FALKENTYRES,,,"11,Jantanager Shopping center, Highway Road, Kalol",,7383722253,,,Ambica Tyre Retrading Service
FALKENTYRES,,,"Near Police station, Ambaji Highway,  Idar",,9898194385,,,Tyre House
FALKENTYRES,,,"6, Shiv complex, Bareja, Ahmedabad",,9712591799,,,UNIQUE WHEEL CARE 
FALKENTYRES,,,"33, Devdarshan Complex, Nr, Annapurna Restaurant, Trikampura Patia, Ahmedabad",,9825122420,,,Nilkanth Tyre Point 
FALKENTYRES,,,"06-7,Near Ambica Police Station, Gayatri Temple Service Road , New  Sudarshan Shopping Center, Kalol",,9428852168,,,Bhavani Motors and Tyres
FALKENTYRES,,,"173, Sona Complex, Kansa Char Rasta, Vishnagar",,9824321391,,,Anand Tyre
FALKENTYRES,,,"G/1, Veer Complex Nr, Janpath Hotel, Radhanpur Chokdi, Mehsana",,9909672466,,,Siddhi Motors
FALKENTYRES,,,", Roshan Road Opp. City Centre  , Hoshiarpur, Punjab- 146001",,9814430373,,,Angra Tyres
FALKENTYRES,,,", Back Side King Hotel Bus Stand Road  , Jalandhar, Punjab- 144001",,0181-2225202,,,Dee Cee Tyres
FALKENTYRES,,,", Opposite Markfed GT Road  , Khanna, Punjab- 141401",,9815237758,,,D.R.Sabharwal Automobiles
FALKENTYRES,,,", Opposite Hero Cycles G.T.Road.  , Ludhiana, Punjab- 141010",,2673924,,,Monga Tyres Pvt Ltd.
FALKENTYRES,,,"Daulat Colony, Opposite Dada Motors Shakti Nagar , Ludhiana, Punjab- 141007",,9872070011,,,City Wheels
FALKENTYRES,,,"Near New Bus Stand, Opposite Royal Motors Distt. Fazilka , Jalalabad (West), Punjab- 152024",,9876480695,,,M.S. Tyres
FALKENTYRES,,,"Opposite Gurur Nanak National College (Boy),  District -Jalandhar, Taluka-Nakodar , Nakoder, Punjab- 144040",,9872740101,,,Kailey Car Cares
FALKENTYRES,,,"Shop No. 26-27, Gurunanak Market, Opp. GNE Collage Gill Road , Ludhiana, Punjab- 141003",,9872323610,,,Lucky Tyres
FALKENTYRES,,,",  Nalagargh Road V.P.O Bharatargh , Roopnagar, Punjab- 140114",,9417278771,,,Gobind Tyres
FALKENTYRES,,,"G.T. Road,, District : Jalandhar  , Goraya, Punjab- 144409",,9814061676,,,Rooprai Brothers
FALKENTYRES,,,"S.C. F-4, Sashtri Nagar Dist. Gurdaspur , Batala, Punjab- 143505",,9815130106,,,Singh Tyres
FALKENTYRES,,,"Old Bus Stand, Near Fauzi Chowk  , Bhatinda, Punjab- 151001",,9872982568,,,Chowdhary Trading Co.
FALKENTYRES,,,"Pankhowal Road, Near South End Gardens Opp. Kalsi Motor , Ludhiana, Punjab- 141002",,9878502500,,,Sona Tyres
FALKENTYRES,,,"Phul Road, Rampura Phul Dist - Bhatinda , Bhatinda, Punjab- 151103",,9814124157,,,Mohindra Tyres
FALKENTYRES,,,"Near Octroi post, Adarsh Nagar, Barewal Ferozepur Road , Ludhiana, Punjab- 141012",,9814702840,,,Dashmesh Wheels
FALKENTYRES,,,"7 -Mission Shop, Court Road Opp- UCO Bank , Amritsar, Punjab- 143001",,9988804077,,,Tyre Junction
FALKENTYRES,,,"Adj. Gulzar Motor, Opp. Military Camp.  , Ludhiana., Punjab- 141003",,9815031845,,,New Bedi Tyre Plaza
FALKENTYRES,,,"SCF-9, Old Bus Stand Collage Road , Barnala, Punjab- 148101",,9988410000,,,Highway Tyres
FALKENTYRES,,,"Malout Road, Opp. Taj Palace  , Sri Muktsar Sahib, Punjab- 152026",,9876168193,,,Kisan Tyres
FALKENTYRES,,,"G.T. Road,, Malout (Tayal Colony) , , Punjab- 152107",,9417479297,,,Baghla Tyres
FALKENTYRES,,,"Chandigarh Road, Near Maruti Agency  , Samrala, Punjab- 141114",,9463665066,,,Hem Tyre Service
FALKENTYRES,,,"Bajakhana Road, Bhagta Bhai Ka The Distt: Bhatinda , Rampure Phul, Punjab- 151206",,9988943809,,,Punjab Tyre House
FALKENTYRES,,,"Shop No. 506, Nirmal Nagar, Sidhwan Canal Express Highway  , Ludhiana, Punjab- 141003",,9872874267,,,Aggarwal Tyres
FALKENTYRES,,,"B-XXX, 29/1,, Near Sherpur Chowk Opp. Monte Carlo , GT Road, Ludhiana, Punjab- 141003",,9915220030,,,Velocity
FALKENTYRES,,,"Outside Nagar Mal Sarai, Udham singh Chowk Distt : Firozpur , Firozpur City, Punjab- 152002",,9814815678,,,Shiv Traders
FALKENTYRES,,,"Shop No. 14, Opp. Brar Hospital, Muktsar Road  Near Tehsil, Distt: Faridkot, Jaitu, Punjab- 151202",,9517185278,,,S.K. Tyres
FALKENTYRES,,,"Near Gurudwara, Ber Sahib Sultanpur  District : Kapurthala, Lodhi, Punjab- 144626",,9417823693,,,Guru Nanak Tyres
FALKENTYRES,,,"B-37 - 21/1, Jagdish Nagar  Village - Dugari, Ludhiana, Punjab- 141002",,9988674000,,,Malhotra Tyres
FALKENTYRES,,,"Shop No 12-13,, Gurudwara Neelpur Market Distt: Patiala Rajpura, Rajpura, Punjab- 140401",,9417481818,,,GAG International
FALKENTYRES,,,"Jalandhar Jammu Bye Pass, Opp. Pathankot Cantt Police Station  Distt: Gurdaspur, Pathankot, Punjab- 145001",,7589372698,,,Sharma Tyres
FALKENTYRES,,,"Opp. Raj Petrol Pump, Near Main Chowk, Talwandi  Bhai District, Taluka- Zira, Ferozepur, Punjab- 142050",,9350563000,,,Mahesari Tyre House
FALKENTYRES,,,"Shop No. 2 & 3, Upper Mall  , Patiala, Punjab- 147001",,9780441611,,,Kartar Tyres
FALKENTYRES,,,"Near Sundeep Petrol Pump, Mansa Kainchian, Distt: Mansa  , Mansa, Punjab- 151505",,9872087809,,,Punjab Tyre House 
FALKENTYRES,,,"Opposite Caltex Petrol Pump, Valmiki Chowk, Circular Road,  Faridkot",,9988517989,,,Guru Nanak Tyres
FALKENTYRES,,,"Near Brahmchari Mandir, Near Namdev Bhawan, Jaito",,9988773533,,,N S Tyre
FALKENTYRES,,,"Near Dusherra Ground, Sikhan Mohhala, Sultanpur Lodhi",,8000343000,,,M S Tyres
FALKENTYRES,,,"Opp. ITI Collage, Gill Road, Ludhiana",,9592774977,,,Balaji Tyres And Wheels
FALKENTYRES,,,"Mohen Ke Road, Guru Har Sahai, Ferozepur",,9855801200,,,H.S Motors
FALKENTYRES,,,"GT Road, Near Akalsar Chowk, Moga",,8427600261,,,Happy Tyre House
FALKENTYRES,,,"Shop 3-4,	Barewal Road	, Adarsh Nagar, Ludhiana",,9814702840,,,Dashmesh Tyres
FALKENTYRES,,,"New Talwandi Road, Zira",,9814110651,,,Kataria Alloy & Tyre House
FALKENTYRES,,,"Near ITI Chowk, Jakhal Road, Sunam, Distt: Sangrur",,9041185137,,,New Garg Traders
FALKENTYRES,,,"Dhanaula Road, Barnala",,9888810879,,,Surindra Tyres
FALKENTYRES,,,"Tyre Market, B-2-3, Ram Bagh, Opp. Bus Stand, Amritsar",,9417208832,,,Ravi Tyres
FALKENTYRES,,,"Booth No.11, Desu Majra, Sunny Enclave, SAS Nagar, Kharar",,7009293639,,,Platinum Tyres
FALKENTYRES,,,"Club Chowk, Near Multani Dhaba, Sangrur, Malerkotla",,9417354731,,,Classic Tyres
FALKENTYRES,,,"Patran, Patiala Road, Patiala",,9463557052,,,Patran Tyre Service
FALKENTYRES,,,"Rajpura Road, Rose Colony, Patiala",,9152764255,,,Delhi Tyres
FALKENTYRES,,,"New Ananpur Road, Indra Colony,  Street No.5, Pathankot",,9815171365,,,R.K. Associates
FALKENTYRES,,,"Near Daawat Dhaba, G.T.  Road, Khanna",,9888588152,,,Sethi Tyre House
FALKENTYRES,,,"Machhiwala Road, Samrala Dist. Ludhiana",,9815493502,,,Malwa Tyre Service
FALKENTYRES,,,"70/B-40, Main Shivaji Marg Opp. Moti Nagar Police Station Moti Nagar , Delhi, Delhi- 110015",,1141412283,,,Derick Impex
FALKENTYRES,,,"14/30, Geeta Colony Near Shiv Puri Bus Stop , Delhi, Delhi- 110031",,9211121112,,,Ekco Tyres
FALKENTYRES,,,"C-119, Ganesh Nagar Pandav Nagar Complex Near Mother Diary Plant , Delhi, Delhi- 110092",,011-22486545,,,Kalsi Automob Shoppie
FALKENTYRES,,,"58, Samrat Enclave Pitampura. (Britannia-Rani Bagh Road No-43. , Delhi, Delhi- 110034",,9211796266,,,Singh Wheels
FALKENTYRES,,,"G-122, Harijan Basti Palam Extn. Sector - 7 Dwarka.  , Delhi, Delhi- 110045",,9871077047,,,Surender Tyre Soles
FALKENTYRES,,,"3, Aakash Tower Shopping Complex Savita Vihar , Delhi, Delhi- 110092",,8800843145,,,The Tyre X India
FALKENTYRES,,,"7, Gujrawala Town Part-1 G T Karnal Road , Delhi, Delhi- 110009",,011-27225616,,,The Tyre Cottage
FALKENTYRES,,,", Shop No 34 Ashram Chowk Near Flyover , Delhi, Delhi- 110065",,1126317939,,,Tyre King
FALKENTYRES,,,"karol bagh, shop no.7/888 G/F Park Road , Delhi, Delhi- 110005",,9811082408,,,Rana Tyres
FALKENTYRES,,,"A-73, East Krishna Nagar,   , Delhi, Delhi- 110051",,9212674730,,,Raja Car Palace
FALKENTYRES,,,"1/486, G.T.Road,  Dilshad Garden , Delhi, Delhi- 110095",,9811109239,,,New Taneja Enterprises
FALKENTYRES,,,"D-169. Shop no. 2 &3,  Fateh Nagar, Jail Road , Delhi, Delhi- 110018",,9810037865,,,Bindra Tyre Shoppe
FALKENTYRES,,,"47, Mohan Park,, Opp. Radhu Palace West Guru Angad Nagar , Delhi, Delhi- 110092",,9811868609,,,High Speed Tyres And Batteries
FALKENTYRES,,,"2388, Alipur Road Narela , Delhi, Delhi- 110040",,9210897507,,,Jindal Trading Co.
FALKENTYRES,,,"B-10 Palika Bhawan, R.K. Puram, Sector 13, Moti Bagh , Delhi, Delhi- 110066",,011-24672913,,,Mahavir Tyre House
FALKENTYRES,,,", Shop No. 59 Gole Market , Delhi, Delhi- 110001",,9811835262,,,Gyani Tyre House
FALKENTYRES,,,", F-326 Lado Sarai, old MB Road , Delhi, Delhi- 110030",,9313131301,,,Super Tyre House
FALKENTYRES,,,"1699 G.F. Arya Samaj Road , Opp Kotak Mahindra Bank, Karol Bagh , Delhi, Delhi- 110005",,9990739990,,,Tyre Zone India
FALKENTYRES,,,", WZ 810 A Pole No. 77, Palam village , Opp. Corporation Bank , Delhi, Delhi- 110045",,9871560073,,,Saini Tyre
FALKENTYRES,,,"Ward 9, Opp. Church Road, Shop .no.6 - 161A Kishangarh ,Meharauli , Delhi, Delhi- 110070",,9811122298,,,Mahavir Tyre Shoppe
FALKENTYRES,,,"Plot No. 2, Khasra No. 38/4, Street No. 9 Near Shiv Nersary, Gautam Colony , Delhi, Delhi- 110040",,9813468830,,,Shiva Motors
FALKENTYRES,,,"Chander Vihar, B-13, Ground Floor Mandawali , Delhi, Delhi- 110092",,9873445373,,,Tyre Zone
FALKENTYRES,,,"Plot No 541, Opp Metro Pillar No 508 Main Rohtak Road, Mundka , Delhi, Delhi- 110041",,9599959090,,,Maa Bhimeshwari Tyres
FALKENTYRES,,,"872, S.P. Mukherjee Marg,   , Delhi, Delhi- 110006",,9810535676,,,Jai Deep Tyres
FALKENTYRES,,,"A-1/9, 100 Ft. Road, Kabir Nagar  , Delhi, Delhi- 110094",,9650430410,,,Anuj Tyres
FALKENTYRES,,,"H.No. 13/65, Ground Floor Village Pooth Khurd Near Balraj Farm House, Delhi, Delhi- 110039",,8587845337,,,Utes Tyre And Alignment Service
FALKENTYRES,,,"H.No. 22, Office No. 201, S/F, Pooja Complex, Khasra No. 429, Veer Savarkar Block  , Delhi, Delhi- 110092",,9811309075,,,Icom Auto Solutions Private Limited
FALKENTYRES,,,"Ground Floor, G-133, Outer Ring Road, Pushkar Enclave, Pashchim Vihar",,9811637763,,,Wheels North
FALKENTYRES,,,"Shop No.2, 2A-015/A-4, Near GTB Hospital, Dilshad Garden",,9818118702,,,Amit Tyre
FALKENTYRES,,,"D-6, Mayapuri Phase-2, Delhi",,9999252620,,,Elegance
FALKENTYRES,,,"Plot No. 1643A, KH No. 24/16/3, Near P P No. NJF CR-10, Todarmal Colony, Thana Road, Najafgarh",,9313553896,,,Aman Tyre Shop
FALKENTYRES,,,"F/F. KH. No. 290/2, A-2/32, Gali No.2, Opp. Nala, Bhajanpura",,8383031473,,,Shri Krishna Tyres
FALKENTYRES,,,"Block 3 Savita Vihar,  Aakash Tower Shopping Complex",,01122162284,,,The Tyre'X India
FALKENTYRES,,,"First Floor B-7/7, Rajouri Garden",,9312386826,,,Tyre Shoppe ( Naraina)
FALKENTYRES,,,"B 161/9, Vasant Kunj, Kishan Garh, New Delhi",,9811132773,,,Khan Tyre House
FALKENTYRES,,,"J-9, Udyog Nagar Industrial Area, Rohtak Road, Peera Ghari , New Delhi",,8800200540,,,Nandan Marketing
FALKENTYRES,,,"C-1/1, Golden Park, Main Road, East Delhi, 	Shiv Puri Extn, New Delhi",,9910998098,,,G.S.Motors
FALKENTYRES,,,"Shop No. 4 , B-93, Lajpat Nagar - 2, Ground Floor, New Delhi",,9810877487,,,Wheel World
FALKENTYRES,,,"Acheet CTS Private Limited, Phase II, 2nd Floor , D-9, Mayapuri, New Delhi",,9811013041,,,Acheet CTS Private Limited
FALKENTYRES,,,"447, JHEEL KHURENJA, EAST DELHI",,9811015722,,,Surjeet Tyre Retrading
FALKENTYRES,,,"B-25, GHAZIPUR DAIRY, MAIN ROAD, EAST DELHI",,9873119500,,,Rotation Auto Works
FALKENTYRES,,,"98/21 C-1, Main Kanjhawla Road, Rama Vihar, New Delhi",,9711495956,,,ANJANEY TYRE
FALKENTYRES,,,"Aravali Service Staion, Rajokari Crossing, NH-8, South Delhi",,9999006757,,,TYRE2GO
FALKENTYRES,,,"GROUND FLOOR, H-18, GALI NO 2,  GANGA VIHAR, EAST DELHI",,7503108048,,,Gupta Traders
FALKENTYRES,,,"E-93, AMAR COLONY, LAJPAT NAGAR , SOUTH DELHI",,9811341555,,,Steer International (Prestige Design)
FALKENTYRES,,,"A 430,  Khasra No 518, Main Wazirabad Road, Meet Nagar, Shahdara",,9810796210,,,Amit Tyres
