brand,desc,docs,images,mpn,price,sku,specs,title,url,weight,weight_unit
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/4PDN5_AS01_b6d0dded-a6a0-4a85-a226-862cb4fa5767_1024x.jpg?v=1601782395'}, 13102510,145.49,C1138368,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 8', 'UPC Number': '31', 'Flexible Duct Inside Dia': '10 in', 'Flexible Duct Wall Thickness': '2 1/2 in', 'Vapor Transmission': '0.05', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Low Pressure Air Moving Systems', 'Fire Rating': 'Flame Spread/Smoke Developed-Less Than 25/Less Than 50', 'Low Temp Deg': '-20?F', 'Compressed Size': '38 in', 'Max Temp': '140?F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Double Ply Vapor Barrier with Tri Directional Reinforcements', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 8.0, 10 in Flexible Duct Inside Dia. - 13102510",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-10-in-dia-13102510-c1138368,19.91,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F328_AS01_573ba4b2-9191-448e-b862-64be5d08ffeb_1024x.jpg?v=1601759216'}, 17002506,42.54,C1135692,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '70', 'Flexible Duct Inside Dia': '6 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.6', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Gray Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 6 in Flexible Duct Inside Dia. - 17002506",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-180f-polyester-17002506-c1135692,9.0,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F328_AS01_b8f509f4-691f-4f79-8ebb-2c080f4fde7e_1024x.jpg?v=1601759217'}, 17002512,78.06,C1135695,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '70', 'Flexible Duct Inside Dia': '12 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.6', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Gray Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 12 in Flexible Duct Inside Dia. - 17002512",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-polyester-180f-17002512-c1135695,17.1,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F323_AS01_73d160e5-6b71-4052-8748-04f6e90e308a_1024x.jpg?v=1601759215'}, 13002512,84.63,C1135691,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '30', 'Flexible Duct Inside Dia': '12 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.05', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Metallized Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD 515-2.1, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 12 in Flexible Duct Inside Dia. - 13002512",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-180f-5000-fpm-13002512-c1135691,17.0,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F323_AS01_ae55ec92-0560-4c2b-8a2c-0ff2c874a5ce_1024x.jpg?v=1601759215'}, 13002506,54.90,C1135688,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '30', 'Flexible Duct Inside Dia': '6 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.05', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Metallized Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD 515-2.1, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 6 in Flexible Duct Inside Dia. - 13002506",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-25-ft-l-180f-13002506-c1135688,9.1,lb
ATCO Rubber Products,"Features double-ply vapor barrier with tridirectional reinforcements. Rated for indoor use.,Rated positive pressure: 10"" WC per UL 181,Velocity: 5,000 fpm,Flame spread/smoke developed: 25 / 50",{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/3F328_AS01_fd4d9557-df31-446c-86f6-a0223a2cf323_1024x.jpg?v=1601759216'}, 17002508,58.09,C1135693,"{'Item': 'Insulated Flexible Duct', 'Insulation Value': 'R 4.2', 'UPC Number': '70', 'Flexible Duct Inside Dia': '8 in', 'Flexible Duct Wall Thickness': '1 1/4 in', 'Vapor Transmission': '0.6', 'Material': 'Polyester', 'Flexible Duct Length': '25 ft', 'Flexible Duct Item': 'Insulated Flexible Duct', 'For Use With': 'Heating and Cooling Systems', 'Low Temp Deg': '-20 Degrees F', 'Max Temp': '180 Degrees F', 'Max Pressure': '6 in WC', 'Max Air Flow': '5,000 fpm', 'Features': 'Air Tight Inner Core, Encapsulated Wire Helix, Smooth Inner Core, Thick Blanket of Fiberglass Insulation, Tough Reinforced Gray Polyester Jacket, Light Weight Compact Carton', 'Standards': 'California State Fire Marshall, Cities of Chicago, County of Dade (Florida), HUD, IMC, IRC, NFPA 90A and 90B, New York, San Francisco, UL181, UMC 10-1 (ICC ES Report No. ESR-1268)'}","ATCO Insulated Flexible Duct, R 4.2, 8 in Flexible Duct Inside Dia. - 17002508",https://www.sustainablesupply.com/products/atco-insulated-flexible-duct-polyester-17002508-c1135693,10.0,lb
Air Handler,,{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/11C889_AS01_c195b472-f806-4b30-9f2a-10b2de030ebc_1024x.jpg?v=1600419444'}, 11C877,20.13,C2860952,"{'Air Filter Item': 'Pleated Air Filter', 'Style - Air Filters': 'Panel', 'Performance Rating': 'MERV 13', 'Nominal Filter Size': '20x24x1', 'Filter Efficiency - Air Filters': '85 %', 'Air Filter Capacity': 'Standard Capacity', 'Media Material': 'Synthetic', 'Frame or Header Material': 'Beverage Board', 'Common Applications': 'LEED/Green', 'Media Color': 'Green', 'Media Area': '6.2 sq ft', 'Pleats per Linear Foot': '24', 'Filters Out': 'MERV 13-16 All Bacteria, Droplet Nuclei (Sneeze), Cooking Oil, Most Smoke, Insecticide Dust, Most Face Power, Paint Pigments, Most Tobacco Smoke, Copier Toner', 'Removes Particles Down To': '3 to 10 microns', 'Air Flow @ 300 fpm': '1,000 cfm', 'Air Flow @ 500 fpm': '1,667 cfm', 'Initial Resistance @ 300 fpm': '0.22 in wc', 'Initial Resistance @ 500 fpm': '0.37 in wc', 'Final Recommended Resistance': '1 in in wc', 'Max Temp': '180 Degrees F', 'Max Velocity': '500 fpm', 'Filter Frame Color': 'White', 'Gasket Location': 'None', 'Gasket Material': 'None', 'Nominal Height': '20 in', 'Nominal Width': '24 in', 'Nominal Depth': '1 in', 'Actual Filter Size': '19-1/2 in x 23-1/2 in x 3/4 in', 'Actual Height': '19 1/2 in', 'Actual Width': '23 1/2 in', 'Actual Dep': 'Actual Dep'}",Air Handler 11C877 - Green Pleat 20x24x1 MERV13,https://www.sustainablesupply.com/products/air-handler-11c877-green-pleat-20x24x1-merv13-c2860952,0.5,lb
Air Handler,,{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/11C889_AS01_00524365-9dbd-4e61-aa79-db0caf274639_1024x.jpg?v=1600418945'}, 11C885,32.59,C2861034,"{'Air Filter Item': 'Pleated Air Filter', 'Style - Air Filters': 'Panel', 'Performance Rating': 'MERV 13', 'Nominal Filter Size': '18x24x4', 'Filter Efficiency - Air Filters': '85 %', 'Air Filter Capacity': 'Standard Capacity', 'Media Material': 'Synthetic', 'Frame or Header Material': 'Beverage Board', 'Common Applications': 'LEED/Green', 'Media Color': 'Green', 'Media Area': '17.5 sq ft', 'Pleats per Linear Foot': '14', 'Filters Out': 'MERV 13-16 All Bacteria, Droplet Nuclei (Sneeze), Cooking Oil, Most Smoke, Insecticide Dust, Most Face Power, Paint Pigments, Most Tobacco Smoke, Copier Toner', 'Removes Particles Down To': '3 to 10 microns', 'Air Flow @ 300 fpm': '900 cfm', 'Air Flow @ 500 fpm': '1,500 cfm', 'Initial Resistance @ 300 fpm': '0.22 in wc', 'Initial Resistance @ 500 fpm': '0.37 in wc', 'Final Recommended Resistance': '1 in in wc', 'Max Temp': '180 Degrees F', 'Max Velocity': '500 fpm', 'Filter Frame Color': 'White', 'Gasket Location': 'None', 'Gasket Material': 'None', 'Nominal Height': '18 in', 'Nominal Width': '24 in', 'Nominal Depth': '4 in', 'Actual Filter Size': '17-3/8 in x 23-3/8 in x 3-3/4 in', 'Actual Height': '17 3/8 in', 'Actual Width': '23 3/8 in', 'Actual De': 'Actual De'}",Air Handler 11C885 - Green Pleat 18x24x4 MERV13,https://www.sustainablesupply.com/products/air-handler-11c885-green-pleat-18x24x4-merv13-c2861034,2.2,lb
Air Handler,,{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/no_image_7fc78251-1fcc-458e-9f9d-af446053d98c_1024x.png?v=1601338484'}, 11C881,21.04,C2860958,"{'Air Filter Item': 'Pleated Air Filter', 'Style - Air Filters': 'Panel', 'Performance Rating': 'MERV 13', 'Nominal Filter Size': '25x25x1', 'Filter Efficiency - Air Filters': '85 %', 'Air Filter Capacity': 'Standard Capacity', 'Media Material': 'Synthetic', 'Frame or Header Material': 'Beverage Board', 'Common Applications': 'LEED/Green', 'Media Color': 'Green', 'Media Area': '10.1 sq ft', 'Pleats per Linear Foot': '31', 'Filters Out': 'MERV 13-16 All Bacteria, Droplet Nuclei (Sneeze), Cooking Oil, Most Smoke, Insecticide Dust, Most Face Power, Paint Pigments, Most Tobacco Smoke, Copier Toner', 'Removes Particles Down To': '3 to 10 microns', 'Air Flow @ 300 fpm': '1,302 cfm', 'Air Flow @ 500 fpm': '2,170 cfm', 'Initial Resistance @ 300 fpm': '0.22 in wc', 'Initial Resistance @ 500 fpm': '0.37 in wc', 'Final Recommended Resistance': '1 in in wc', 'Max Temp': '180 Degrees F', 'Max Velocity': '500 fpm', 'Filter Frame Color': 'White', 'Gasket Location': 'None', 'Gasket Material': 'None', 'Nominal Height': '25 in', 'Nominal Width': '25 in', 'Nominal Depth': '1 in', 'Actual Filter Size': '24-1/2 in x 24-1/2 in x 3/4 in', 'Actual Height': '24 1/2 in', 'Actual Width': '24 1/2 in', 'Actual De': 'Actual De'}",Air Handler 11C881 - Green Pleat 25x25x1 MERV13,https://www.sustainablesupply.com/products/air-handler-11c881-green-pleat-25x25x1-merv13-c2860958,0.6,lb
Air Handler,,{},{'image_url_1': 'https://cdn.shopify.com/s/files/1/0332/9992/2988/products/11C889_AS01_12beb109-384e-4464-9b2b-5f6acac71a40_1024x.jpg?v=1600419450'}, 11C876,18.78,C2860948,"{'Air Filter Item': 'Pleated Air Filter', 'Style - Air Filters': 'Panel', 'Performance Rating': 'MERV 13', 'Nominal Filter Size': '20x20x1', 'Filter Efficiency - Air Filters': '85 %', 'Air Filter Capacity': 'Standard Capacity', 'Media Material': 'Synthetic', 'Frame or Header Material': 'Beverage Board', 'Common Applications': 'LEED/Green', 'Media Color': 'Green', 'Media Area': '5.1 sq ft', 'Pleats per Linear Foot': '24', 'Filters Out': 'MERV 13-16 All Bacteria, Droplet Nuclei (Sneeze), Cooking Oil, Most Smoke, Insecticide Dust, Most Face Power, Paint Pigments, Most Tobacco Smoke, Copier Toner', 'Removes Particles Down To': '3 to 10 microns', 'Air Flow @ 300 fpm': '833 cfm', 'Air Flow @ 500 fpm': '1,389 cfm', 'Initial Resistance @ 300 fpm': '0.22 in wc', 'Initial Resistance @ 500 fpm': '0.37 in wc', 'Final Recommended Resistance': '1 in in wc', 'Max Temp': '180 Degrees F', 'Max Velocity': '500 fpm', 'Filter Frame Color': 'White', 'Gasket Location': 'None', 'Gasket Material': 'None', 'Nominal Height': '20 in', 'Nominal Width': '20 in', 'Nominal Depth': '1 in', 'Actual Filter Size': '19-1/2 in x 19-1/2 in x 3/4 in', 'Actual Height': '19 1/2 in', 'Actual Width': '19 1/2 in', 'Actual Depth': 'Actual Depth'}",Air Handler 11C876 - Green Pleat 20x20x1 MERV13,https://www.sustainablesupply.com/products/air-handler-11c876-green-pleat-20x20x1-merv13-c2860948,0.55,lb
