brand,district,email_id,full_address,goodyear_zone,manufacturer_unique_id,phone_number,pincode,state,store_name,website
Good Year,,,"SHOP NO 1, HIMANSHU PAPRTMENTNEAR TVS SHOWROOM SECTOR A INDRAPURI BHOPAL",0,,75810 00012,,,JAI AMBE AUTO PARTS,https://www.goodyear.co.in/store/jai-ambe-auto-parts
Good Year,,"
								  bansalr888@gmail.com								  ",B-4A NEW MULTAN NAGAR NEWDELHI-,0,,01171568674,,,JAGUAR TYRES,https://www.goodyear.co.in/store/jaguar-tyres
Good Year,,,"NH-66, KINNIMULKY, UDUPI, MANGALORE, KARNATAKA - 576101",0,,9448352405,,,JAE’S WHEEL MASTERS,https://www.goodyear.co.in/store/jaes-wheel-masters
Good Year,,,"LANE NO. 5 , MAIN ROAD, GREATER KAILISH",0,,8715000006,,,J.S. WHEELS,https://www.goodyear.co.in/store/j-s-wheels
Good Year,,,"Gorakhpur Road, Deoria, Uttar Pradesh",0,,9415266726,,,J P TYRES & AUTOMOBILE,https://www.goodyear.co.in/store/j-p-tyres-automobile
Good Year,,"
								  ashishshah0811@yahoo.in								  ","A-6, SUNBEAM COMPLEX, NEAR JALARAM MANDIR CROSSING, OPP VISHAL MEGA MART, ELLISBRIDGE",0,,07971845373,,,JUPITOR TYRES,https://www.goodyear.co.in/store/jupitor-tyres
Good Year,,"
								  funnykataria@gmail.com								  ",T.P.S .KATRIA new Talwandi Road Zira (punjab)-,0,,9592700651,,,KATARIA ALLOY & TYRE HOUSE,https://www.goodyear.co.in/store/kataria-alloy-tyre-house
Good Year,,"
								  adnankhan.mahgama.ak@gmail.com								  ","Opp Reliance Petrol Pump Old Mumbai Pune Highway Tal Khalapur Dist Raigad, Maharashtra",0,,9819543548,,,Kasturi Tyres,https://www.goodyear.co.in/store/kasturi-tyres
Good Year,,"
								  ankurkariwal@gmail.com								  ","Kariwal Tyres and Accessories,Opposite Surya Vihar, Pachpedi Naka Chowk,Tagore Nagar Road, Raipur ,Chhattisgarh",0,,8819000030,,,KARIWAL TYRE,https://www.goodyear.co.in/store/kariwal-tyre
Good Year,,,"Block B, Shop No  94, Central Auto Market, Near Mahindra First Choice",0,,01171568627,,,Kar Stylo Essential,https://www.goodyear.co.in/store/kar-stylo-essential
Good Year,,"
								  sodhi.ranbirsingh@gmail.com								  ",HEK Compound opp. Indian Bank Mahakali Caves Road Andheri ( East ) Mumbai -  Mumbai Maharashtra,0,,9004818808,,,Kampala Enterprises,https://www.goodyear.co.in/store/kampala-enterprises
Good Year,,"
								  jijikanicheril@gmail.com								  ",Nedumpalli Building Madukoly Junction Mallapally Pattanamthitta District Kerala-,0,,9447026925,,,Kanicheril Tyres,https://www.goodyear.co.in/store/kanicheril-tyres
Good Year,,"
								  kailashtyres2010@gmail.com								  ","SHOP NO-75, KOTWALI ROAD,SRI GANGA NAGAR, RAJASTHAN- 335001",0,,9461109200,,,Kailash Tyre Agency,https://www.goodyear.co.in/store/kailash-tyre-agency
Good Year,,"
								  kojtyre@gmail.com								  ","Ward No-4, JD Road, Kokrajhar",0,,8472015860,,,Kokrajhar Tyre Centre,https://www.goodyear.co.in/store/kokrajhar-tyre-centre
Good Year,,"
								  kirantyre004@gmail.com								  ",BH Road Kodi camp Tarikere Karnataka-,0,,9483673826,,,Kiran Tyres and Wheel Alignment,https://www.goodyear.co.in/store/kiran-tyres-and-wheel-alignment
Good Year,,"
								  kiranratanchandtyres@gmail.com								  ",Shop no-1 Sudarshan Chambers Opp Shivaji Statue Market Yard Pune - 411002 Pune Maharashtra,0,,02071970105,,,Kiran Ratan chand,https://www.goodyear.co.in/store/kiran-ratan-chand
Good Year,,"
								  naseem1786.nkk@gmail.com								  ","W-5A, OPP KALKA JI BUS DEPOT, GOVIND PURI, KALKA JI, NEW DELHI - 110019",0,,01161495535,,,KHAN TYRE TUBE & BATTERIES,https://www.goodyear.co.in/store/khan-tyre-tube-batteries
Good Year,,"
								  kushaldeeprakhi@gmail.com								  ","202/4A S.P. MUKHERJEE ROAD,",0,,03371645743,,,KHALSA TYRE CENTRE,https://www.goodyear.co.in/store/khalsa-tyre
Good Year,,,"DUDHE CORNER, SHOP NO. 9, PLOT NO. 39, SECTOR-6A, KAMOTHE, NAVI MUMBAI, MAHARASHTRA-410209",0,,#N/A,,,KGN Motors,https://www.goodyear.co.in/store/kgn-motors
Good Year,,"
								  kejriwal02@yahoo.com								  ",J-13/93 COTTON MILL COMPOUND OLD GT ROAD CHOWKAGHAT VARANASI,0,,9935376665,,,KEJRIWAL TYRES,https://www.goodyear.co.in/store/kejriwal-tyres
Good Year,,"
								  KEJRIWAL01@yahoo.com								  ",SHOP NO-14&15 IMLAC COLONY NADESAR VARANASI,0,,9935376665,,,KEJRIWAL TRADERS,https://www.goodyear.co.in/store/kejriwal-traders
Good Year,,"
								  lonkartyres@gmail.com								  ",S.No-16/A1/1 Opp. Sarvodaya Society KONDHAWA KD NIBM RD. Pune Maharashtra,0,,9822857170,,,Lonkar Tyres,https://www.goodyear.co.in/store/lonkar-tyres
Good Year,,,"SHOP NO-3, 474 SADASHIV PETH TILAKRD, OPP NEW ENGLISH SCHOOL, PUNE, MAHARASHTRA- 411030",0,,02071970104,,,LOKMANYA AUTO CENTRE,https://www.goodyear.co.in/store/lokmanya-auto-centre
Good Year,,,"35, Saraswati Marg, Outside Surajpole, Near Champalal Dharmshala, Udaipur",0,,9829042639,,,LEELA SERVICE,https://www.goodyear.co.in/store/leela-service
Good Year,,,"54 SANTNAGAR, SANWER ROAD UJJAIN",0,,7000249940,,,Lakshya Tyres,https://www.goodyear.co.in/store/lakshya-tyres
Good Year,,"
								  vasstu.kkumawat@gmail.com								  ","NEAR MANDI TIRAHA BYPASS ROAD, BUNDI",0,,8058600077,,,KUMAWAT TYRES,https://www.goodyear.co.in/store/kumawat-tyres-2
Good Year,,"
								  gopalasiwal715@gmail.com								  ","62-65, Jamna Colony, Teen Dukan, Sikar Road, Jaipur -23,",0,,8209222162,,,KUMAWAT TYRES,https://www.goodyear.co.in/store/kumawat-tyres
Good Year,,"
								  ksrtyres@gmail.com								  ",NO:168 A/565 Kannapaan Complex East Tambaram Velacherry Main Road Chennai Tamilnadu,0,,9962022125,,,KSR Tyres,https://www.goodyear.co.in/store/ksr-tyres
Good Year,,,"B-21, PALIKA BHAWNA, OPP. HYATT REGENCY BEHIND CORREE HOUSE, NEW DELHI-110066",0,,9213109083,,,KRISHNA TYRE HOUSE,https://www.goodyear.co.in/store/krishna-tyre-house
Good Year,,,"Shimla Bye Pass Mazra Dehrdun., Uttarakhand",0,,9760819760,,,Malik tyres,https://www.goodyear.co.in/store/malik-tyres
Good Year,,"
								  OMSHUKLA45@GMAIL.COM								  ","Shop No 2, Ram Kripal Tiwari Chawl, New Nagardas Road, Andheri East, Mumbai - 400069",0,,9820988875,,,Mateshwari battery service,https://www.goodyear.co.in/store/mateshwari-battery-service
Good Year,,,"SAI NAGRAJ ARCED,NH 206",0,,9448759356,,,Maruthi Wheel World (Koushik Automobiles),https://www.goodyear.co.in/store/maruthi-wheel-world-koushik-automobiles
Good Year,,,"Shop no.8, Krisna Greenland park, near mahindra Showroom ,, Kasarwadavali, GB road, Thane, Thane",0,,9323359094,,,Manoj tyres,https://www.goodyear.co.in/store/manoj-tyres
Good Year,,"
								  manchandatyres@gmail.com								  ",Hariom Manchanda Ranipur More Haridwar. UK.,0,,9897105522,,,Manchanda Tyres,https://www.goodyear.co.in/store/manchanda-tyres
Good Year,,"
								  malanadautotreat@gmail.com								  ",NO:17/S 17 th Cross 3 rd Sector HSR Layout Bangalore Karnataka,0,,9036122722,,,Malnad Tyre Treats,https://www.goodyear.co.in/store/malnad-tyre-treats
Good Year,,,Maruthi Service Station 1 st Cross Industrial Area Sagar Shimoga District Karnataka-,0,,"08183-229405,220905",,,Mallika Auto Care,https://www.goodyear.co.in/store/mallika-auto-care
Good Year,,"
								  madhuprasanthpk@gmail.com								  ","Wyanad Road Eranjpalyam junction Calicut, Kerala",0,,9387221104,,,MALABAR TYRES & SERVICES,https://www.goodyear.co.in/store/malabar-tyres-services
Good Year,,"
								  mukkamtyresclt@yahoo.co.in								  ","NANDILATH G-MART BLG CHOVVA KANNUR KANNUR, Kerala",0,,9400306947,,,Mukkam Tyres,https://www.goodyear.co.in/store/mukkam-tyres
Good Year,,"
								  mukkamtyresclt@yahoo.co.in								  ","GR FLOOR, 13/278D, KANHANGAD SOUTH, KAHANGAD, KASARAGOD, KERALA -671315",0,,,,,Mukkam Tyres,https://www.goodyear.co.in/store/mukkam-tyres-3
Good Year,,"
								  motor.radioco@gmail.com								  ","Indrchand mansion, AT Road, Near ASTC bus stand, Tinsukia, Dist- Tinsukia, Assam, PIN- 786125",0,,9706131528,,,MOTOR & RADIO,https://www.goodyear.co.in/store/motor-radio
Good Year,,"
								  mitrukatyres2010@gmail.com								  ","NEAR RAILWAY STATION, TIBBI ROAD, HANUMANGRAH TOWN, HANUMANGRAH",0,,9414094144,,,Mitruka Tyres,https://www.goodyear.co.in/store/mitruka-tyres
Good Year,,,"NO-46, KRUMBIGAL ROAD, NEAR LALBAGH MAIN GATE, DODDAMAVALLI, BANGALORE, KARNATAKA- 560004",0,,08047486516,,,MILLIVISIONS MARKETING PRIVATE LIMITED,https://www.goodyear.co.in/store/milli-vision-marketing-private-limited
Good Year,,"
								  patelyamal9090@gmail.com								  ",NEAR AKOTA GARDEN,0,,7984222261,,,MULTI WHEELS  ,https://www.goodyear.co.in/store/multi-wheels
Good Year,,"
								  kenmgtm@gmail.com								  ","AIRPORT ROAD, NEAR FCI, IMPHAL WEST",0,,8974121234,,,MI TRADERS,https://www.goodyear.co.in/store/mi-traders
Good Year,,"
								  metrotyrespune@gmail.com								  ","Laxmi Terraceses Appartments, Near Corporation Bank, Karve Nagar, Pune",0,,02071970108,,,Metro Tyres,https://www.goodyear.co.in/store/metro-tyres
Good Year,,,"JOSEPH MEMORIAL KALLINGAL COMPLEX, RAILWAY STATION ROAD, OPP S.H. COLLEGE, CHALAKUDY, THRISSUR, KERALA- 680307",0,,9446453355,,,NEW Q-MAX TYRES,https://www.goodyear.co.in/store/new-q-max-tyres
Good Year,,"
								  gautamgsn@yahoo.com								  ","S.C.O. -31, SECTOR-21-C, CHANDIGARH - 160022",0,,9814043438,,,NEW METRO MOTORS,https://www.goodyear.co.in/store/new-metro-motors
Good Year,,,Near powai Police Station Rambaug Powai Mumbai,0,,022-25701244 / 022-32236411,,,New KGN Tyres,https://www.goodyear.co.in/store/new-kgn-tyres
Good Year,,,"OPP TRUCK UNION IMPROVEMENT TRUST OFFICE SUNAM ROAD SANGRUR, Punjab",0,,9855187728,,,New Hotla Tyres,https://www.goodyear.co.in/store/new-hotla-tyres
Good Year,,"
								  deepak_tyre@gmail.com								  ",Station Road Puranpur Distt: Pilibhit,0,,9536128445,,,New Gupta Tyres,https://www.goodyear.co.in/store/new-gupta-tyres
Good Year,,,"N.H. ROAD,KOCHUVILA,ALAMCODE,TRIVANDRUM.",0,,9388264876,,,New Bombay Tyres,https://www.goodyear.co.in/store/new-bombay-tyres
Good Year,,,Aroor Vyttila Bypass Near Lakeshore Hospital Madavana Signal Junction cochin Kerala,0,,9847045399,,,"New Bharath Tyres Pvt Ltd, Kochin",https://www.goodyear.co.in/store/new-bharath-tyres-pvt-ltd-kochin
Good Year,,,Beach Road Kollam Kerala,0,,9847072729,,,New Bharath Tyres Kollam,https://www.goodyear.co.in/store/new-bharath-tyres-kollam
Good Year,,,"ARYA ESTATE, NEAR KAPURBAWDI BIG BAZAAR, NEXT TO VEE CARE HOSPITAL, OLD AGRA ROAD, BALKUM, THANE- WEST, MAHARASHTRA- 400608",0,,9619404075,,,PREMJI MOTORS PRIVATE LIMITED,https://www.goodyear.co.in/store/premji-motors-private-limited
Good Year,,"
								  sam.rendra96@gmail.com								  ","125/4,Juhi Lal Colony, Kanpur-208014",0,,9838878485,,,PREMIER TRADERS,https://www.goodyear.co.in/store/premier-traders
Good Year,,"
								  nareshfzr@gmail.com								  ",Shaheed Udham Singh Chowk Ferozepur City-,0,,9417243674,,,PRATIK  ENTERPRISES/ dabbu radiatior,https://www.goodyear.co.in/store/pratik-enterprises-dabbu-radiatior
Good Year,,"
								  jaspalsingh@yahoo.com								  ",Shastri Market Jalandhar Punjab-,0,,9815167675,,,PRABHAT TYRE CENTRE,https://www.goodyear.co.in/store/prabhat-tyre-centre
Good Year,,"
								  populartradersbangalore@gmail.com								  ","Shop No.17, H Siddaiah Road (Opp to City Union Bank)",0,,08047486517,,,POPULAR TRADERS,https://www.goodyear.co.in/store/popular-traders
Good Year,,,"OPP BISHOP HOUSE, KOZHENCHERRY ROAD, PATHANAMTHITTA, KERALA",0,,9447278121/9447571090,,,PERFECT WHEELS,https://www.goodyear.co.in/store/perfect-wheels
Good Year,,,"SHOP NO-32/33, KDMC SPORTS COMPLEX, NEAR GARADA CIRCLE, KALYAN ROAD, DOMBIVLI- E, THANE, MAHARASHTRA- 421201",0,,9323896040,,,PERFECT TYRES AND CAR DÉCOR,https://www.goodyear.co.in/store/perfect-tyres-and-car-decor
Good Year,,,"WZ-14, Plot No. 9, Bhagwan Das Nagar Extension, Opp Metro Pillar 59, Near Ashok Park Metro Station, New Delhi, 110026",0,,01171568591,,,PDG Tyres India Pvt Ltd,https://www.goodyear.co.in/store/pdg-tyres-india-pvt-ltd
Good Year,,"
								  rbdkorba@gmailcom								  ","stadium road,transport nagar,Korba",0,,9827174824,,,R B TRADERS,https://www.goodyear.co.in/store/r-b-traders
Good Year,,"
								  mofidul.1990@gmail.com								  ","E-sector, Itanar, Near Secretariat, Dist-Papum Pare, Arunachal Pradesh, PIN-791111",0,,9436050681,,,QURBAN TYRES,https://www.goodyear.co.in/store/qurban-tyres
Good Year,,"
								  gilbilesachine@gmail.com								  ","NEAR SINNER COLLEGE SINNER DIST-NASHIK , Maharashtra",0,,9049041999,,,Purwa Tyres,https://www.goodyear.co.in/store/purwa-tyres
Good Year,,"
								  jappreetsingh65@gmail.com								  ",Heera Bagh Rajpura Road Patiala Punjab-,0,,9815556965,,,Punjab Tyres,https://www.goodyear.co.in/store/punjab-tyres-2
Good Year,,"
								  lucky_pts@yahoo.co.in								  ",Shop no- 20 Sector -17 Arenja Corner Vashi Mumbai Maharashtra,0,,02071969265,,,Punjab Tyre Sole,https://www.goodyear.co.in/store/punjab-tyre-sole-vashi
Good Year,,"
								  prakashjain.ranchi@gmail.com								  ","Opposite CM hpuse,Kanke road,Ranchi",0,,9431115577,,,PROGRESSIVE ENTERPRISES,https://www.goodyear.co.in/store/progressive-enterprises
Good Year,,,"CTS NO - 270/2, 271/272, SHIVAJI NAGAR, PUNE, MAHARASHTRA- 411005",0,,,,,PUNGALIYA TYRES,https://www.goodyear.co.in/store/pungaliya-tyres
Good Year,,"
								  princewheelcare@yahoo.com								  ","G F 18, SATYAMEV 2, OPP GUJRAT HIGH COURT, GHATLODIA",0,,9824265757,,,PRINCE TYRES,https://www.goodyear.co.in/store/prince-tyres
Good Year,,"
								  alireliabletyres@yahoo.co.in								  ",690 Adarsh Nagar New Link Road Oshiwara Mumbai Maharashtra,0,,02071969227,,,Reliable Tyres,https://www.goodyear.co.in/store/reliable-tyres
Good Year,,,Shop.No.18 fl Gomes Road Tilak Complex Vasco-Goa,0,,9823536463,,,Rehan tyre,https://www.goodyear.co.in/store/rehan-tyre
Good Year,,"
								  realtyre.bharuch@hotmail.co.uk								  ","20 BRIDGE VIEW COMPLEX,NEAR MADHULI HOTE, OPP. FAITH CALVERY SCHOOL, NANDEWAR OVER BRIDGE, NANDEWAR",0,,9824120777,,,REAL TYRE CARE,https://www.goodyear.co.in/store/real-tyre-care
Good Year,,"
								  rakeshrawatnt@gmail.com								  ",B. Puram road Baurari New Tehri Tehri Garhwal (uttarakhand)-,0,,9412997380,,,Rawat Motors,https://www.goodyear.co.in/store/rawat-motors
Good Year,,"
								  ashwani_hashia07@yahoo.com								  ","43, Building No. 85/86, Happy Home Estate, Poonam Sagar Complex, Mira Road East, Thane",0,,02071967793,,,Rapid & Fast Enterprises,https://www.goodyear.co.in/store/rapid-fast-enterprises
Good Year,,,"SUNDAR ARCADE, NEXT TO VITTHAL MANDIR, NAGAR ROAD, PANDHARPUR, WALUJ MIDC, AURANGABAD, MAHARASHTRA- 431136",0,,0240- 2555910,,,RAJENDRA TYRE SERVICES,https://www.goodyear.co.in/store/rajendra-tyre-services
Good Year,,,"OPP TO MAZAAR, NEAR SBI SME BRANCH, BHAGWANGANJ, SAGAR, MADHYA PRADESH- 480002",0,,9329164830,,,RAI TYRES,https://www.goodyear.co.in/store/rai-tyres
